,ar,bg,bs,cs,da,de,el,en,es,fi,fr,he,hi,hr,hu,id,it,lv,nl,pl,pt,ro,ru,sl,sr,sv,uk,zh
fr,0.7715430861723447,0.7314629258517034,0.7675350701402806,0.8096192384769539,0.8256513026052105,0.8476953907815631,0.7975951903807615,0.8597194388777555,0.8416833667334669,0.811623246492986,1.0,0.7755511022044088,0.7414829659318637,0.8276553106212425,0.7915831663326653,0.8036072144288577,0.8496993987975952,0.7835671342685371,0.8256513026052105,0.8296593186372746,0.8517034068136272,0.8196392785571143,0.8276553106212425,0.7995991983967936,0.7775551102204409,0.8136272545090181,0.7835671342685371,0.7995991983967936
he,0.7474949899799599,0.687374749498998,0.7354709418837675,0.7675350701402806,0.7975951903807615,0.7895791583166333,0.7555110220440882,0.8056112224448898,0.7935871743486974,0.7855711422845691,0.7755511022044088,1.0,0.7374749498997996,0.7735470941883767,0.811623246492986,0.7875751503006012,0.7895791583166333,0.7715430861723447,0.8096192384769539,0.7695390781563126,0.7875751503006012,0.7635270541082164,0.781563126252505,0.7615230460921844,0.7414829659318637,0.781563126252505,0.7555110220440882,0.7695390781563126
hi,0.7454909819639278,0.6833667334669339,0.7394789579158316,0.7294589178356713,0.7775551102204409,0.7655310621242485,0.7154308617234469,0.7695390781563126,0.7535070140280561,0.7535070140280561,0.7414829659318637,0.7374749498997996,1.0,0.7655310621242485,0.7535070140280561,0.7735470941883767,0.7535070140280561,0.7274549098196392,0.7895791583166333,0.7354709418837675,0.7735470941883767,0.7615230460921844,0.7535070140280561,0.7334669338677354,0.7294589178356713,0.7454909819639278,0.7194388777555111,0.7254509018036072
hr,0.781563126252505,0.7274549098196392,0.8657314629258517,0.8316633266533067,0.843687374749499,0.8136272545090181,0.7635270541082164,0.8496993987975952,0.8356713426853707,0.8136272545090181,0.8276553106212425,0.7735470941883767,0.7655310621242485,1.0,0.811623246492986,0.7995991983967936,0.8276553106212425,0.7995991983967936,0.843687374749499,0.8517034068136272,0.8136272545090181,0.8236472945891784,0.8316633266533067,0.8597194388777555,0.8356713426853707,0.8316633266533067,0.7975951903807615,0.8036072144288577
hu,0.7695390781563126,0.7294589178356713,0.7595190380761523,0.8096192384769539,0.8476953907815631,0.845691382765531,0.8016032064128257,0.8396793587174348,0.8296593186372746,0.8176352705410822,0.7915831663326653,0.811623246492986,0.7535070140280561,0.811623246492986,1.0,0.8056112224448898,0.8276553106212425,0.8036072144288577,0.8537074148296593,0.8176352705410822,0.8216432865731463,0.8196392785571143,0.8216432865731463,0.7995991983967936,0.779559118236473,0.8336673346693386,0.7735470941883767,0.781563126252505
id,0.7775551102204409,0.717434869739479,0.7675350701402806,0.8016032064128257,0.8336673346693386,0.8016032064128257,0.7835671342685371,0.8276553106212425,0.8076152304609219,0.7935871743486974,0.8036072144288577,0.7875751503006012,0.7735470941883767,0.7995991983967936,0.8056112224448898,1.0,0.8176352705410822,0.7675350701402806,0.8336673346693386,0.8016032064128257,0.8176352705410822,0.8196392785571143,0.8196392785571143,0.7655310621242485,0.751503006012024,0.8076152304609219,0.7835671342685371,0.8016032064128257
it,0.7595190380761523,0.749498997995992,0.7715430861723447,0.8156312625250501,0.8557114228456913,0.8517034068136272,0.7955911823647295,0.8837675350701403,0.8677354709418837,0.8236472945891784,0.8496993987975952,0.7895791583166333,0.7535070140280561,0.8276553106212425,0.8276553106212425,0.8176352705410822,1.0,0.8176352705410822,0.8557114228456913,0.8316633266533067,0.8537074148296593,0.8396793587174348,0.8476953907815631,0.8056112224448898,0.7735470941883767,0.8517034068136272,0.8056112224448898,0.8156312625250501
lv,0.7575150300601202,0.7194388777555111,0.7474949899799599,0.781563126252505,0.8056112224448898,0.7995991983967936,0.7735470941883767,0.8196392785571143,0.8056112224448898,0.7995991983967936,0.7835671342685371,0.7715430861723447,0.7274549098196392,0.7995991983967936,0.8036072144288577,0.7675350701402806,0.8176352705410822,1.0,0.7975951903807615,0.8356713426853707,0.7935871743486974,0.779559118236473,0.7955911823647295,0.7775551102204409,0.7474949899799599,0.7875751503006012,0.7454909819639278,0.7855711422845691
nl,0.7615230460921844,0.7474949899799599,0.7835671342685371,0.8316633266533067,0.8857715430861723,0.8476953907815631,0.7895791583166333,0.875751503006012,0.8496993987975952,0.8236472945891784,0.8256513026052105,0.8096192384769539,0.7895791583166333,0.843687374749499,0.8537074148296593,0.8336673346693386,0.8557114228456913,0.7975951903807615,1.0,0.8356713426853707,0.8517034068136272,0.8416833667334669,0.8476953907815631,0.8056112224448898,0.779559118236473,0.8677354709418837,0.781563126252505,0.8076152304609219
pl,0.7715430861723447,0.7454909819639278,0.7975951903807615,0.8476953907815631,0.8496993987975952,0.8176352705410822,0.7975951903807615,0.8637274549098196,0.8416833667334669,0.8296593186372746,0.8296593186372746,0.7695390781563126,0.7354709418837675,0.8517034068136272,0.8176352705410822,0.8016032064128257,0.8316633266533067,0.8356713426853707,0.8356713426853707,1.0,0.8396793587174348,0.8256513026052105,0.8296593186372746,0.8496993987975952,0.7935871743486974,0.8476953907815631,0.7975951903807615,0.8156312625250501
pt,0.7915831663326653,0.7314629258517034,0.7695390781563126,0.8156312625250501,0.8597194388777555,0.843687374749499,0.7935871743486974,0.87374749498998,0.8697394789579158,0.8376753507014028,0.8517034068136272,0.7875751503006012,0.7735470941883767,0.8136272545090181,0.8216432865731463,0.8176352705410822,0.8537074148296593,0.7935871743486974,0.8517034068136272,0.8396793587174348,1.0,0.8376753507014028,0.8296593186372746,0.7915831663326653,0.7775551102204409,0.8236472945891784,0.7695390781563126,0.8136272545090181
ro,0.7775551102204409,0.7214428857715431,0.7855711422845691,0.8316633266533067,0.8276553106212425,0.8296593186372746,0.7875751503006012,0.8537074148296593,0.843687374749499,0.8136272545090181,0.8196392785571143,0.7635270541082164,0.7615230460921844,0.8236472945891784,0.8196392785571143,0.8196392785571143,0.8396793587174348,0.779559118236473,0.8416833667334669,0.8256513026052105,0.8376753507014028,1.0,0.8216432865731463,0.7915831663326653,0.7675350701402806,0.8256513026052105,0.781563126252505,0.8076152304609219
ru,0.7775551102204409,0.7334669338677354,0.8016032064128257,0.7895791583166333,0.8336673346693386,0.8256513026052105,0.7775551102204409,0.8496993987975952,0.8276553106212425,0.8256513026052105,0.8276553106212425,0.781563126252505,0.7535070140280561,0.8316633266533067,0.8216432865731463,0.8196392785571143,0.8476953907815631,0.7955911823647295,0.8476953907815631,0.8296593186372746,0.8296593186372746,0.8216432865731463,1.0,0.8016032064128257,0.8136272545090181,0.8196392785571143,0.7955911823647295,0.8016032064128257
sl,0.7434869739478958,0.7214428857715431,0.8096192384769539,0.7975951903807615,0.8056112224448898,0.7975951903807615,0.7615230460921844,0.8236472945891784,0.8236472945891784,0.8016032064128257,0.7995991983967936,0.7615230460921844,0.7334669338677354,0.8597194388777555,0.7995991983967936,0.7655310621242485,0.8056112224448898,0.7775551102204409,0.8056112224448898,0.8496993987975952,0.7915831663326653,0.7915831663326653,0.8016032064128257,1.0,0.7915831663326653,0.8096192384769539,0.7695390781563126,0.7655310621242485
sr,0.7655310621242485,0.6953907815631263,0.7935871743486974,0.7695390781563126,0.7655310621242485,0.7635270541082164,0.7294589178356713,0.7655310621242485,0.781563126252505,0.7695390781563126,0.7775551102204409,0.7414829659318637,0.7294589178356713,0.8356713426853707,0.779559118236473,0.751503006012024,0.7735470941883767,0.7474949899799599,0.779559118236473,0.7935871743486974,0.7775551102204409,0.7675350701402806,0.8136272545090181,0.7915831663326653,1.0,0.7675350701402806,0.7474949899799599,0.751503006012024
sv,0.7474949899799599,0.7314629258517034,0.7675350701402806,0.8096192384769539,0.87374749498998,0.8336673346693386,0.7855711422845691,0.8657314629258517,0.8296593186372746,0.8296593186372746,0.8136272545090181,0.781563126252505,0.7454909819639278,0.8316633266533067,0.8336673346693386,0.8076152304609219,0.8517034068136272,0.7875751503006012,0.8677354709418837,0.8476953907815631,0.8236472945891784,0.8256513026052105,0.8196392785571143,0.8096192384769539,0.7675350701402806,1.0,0.7835671342685371,0.7755511022044088
uk,0.7354709418837675,0.6993987975951904,0.7635270541082164,0.7875751503006012,0.7755511022044088,0.7875751503006012,0.7595190380761523,0.7875751503006012,0.7835671342685371,0.7615230460921844,0.7835671342685371,0.7555110220440882,0.7194388777555111,0.7975951903807615,0.7735470941883767,0.7835671342685371,0.8056112224448898,0.7454909819639278,0.781563126252505,0.7975951903807615,0.7695390781563126,0.781563126252505,0.7955911823647295,0.7695390781563126,0.7474949899799599,0.7835671342685371,1.0,0.7735470941883767
zh,0.7915831663326653,0.6973947895791583,0.7575150300601202,0.8136272545090181,0.8156312625250501,0.8176352705410822,0.7535070140280561,0.8156312625250501,0.8216432865731463,0.7855711422845691,0.7995991983967936,0.7695390781563126,0.7254509018036072,0.8036072144288577,0.781563126252505,0.8016032064128257,0.8156312625250501,0.7855711422845691,0.8076152304609219,0.8156312625250501,0.8136272545090181,0.8076152304609219,0.8016032064128257,0.7655310621242485,0.751503006012024,0.7755511022044088,0.7735470941883767,1.0
